date,sku,product,category,channel,region,unit_price,unit_cost,promotion,discount_pct,marketing_spend_idr,units_sold,net_revenue_idr,gross_profit_idr
2024-01-01,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1888253.8146998,129,16641000,12126000
2024-01-08,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2603716.4745159163,82,10578000,7708000
2024-01-15,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1229448.8052279097,124,15996000,11656000
2024-01-22,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2649241.105493324,118,15222000,11092000
2024-01-29,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1633346.6107985054,120,15480000,11280000
2024-02-05,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1176998.4170167937,128,16512000,12032000
2024-02-12,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1454259.2743820746,131,16899000,12314000
2024-02-19,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1372492.6274549824,96,12384000,9024000
2024-02-26,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,665417.5925959502,124,15996000,11656000
2024-03-04,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2688443.57175393,173,22317000,16262000
2024-03-11,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1393053.8662394257,82,10578000,7708000
2024-03-18,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1951214.9451452235,149,19221000,14006000
2024-03-25,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1162835.645657262,172,22188000,16168000
2024-04-01,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1292287.9073222051,149,19221000,14006000
2024-04-08,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1682725.7513765316,186,23994000,17484000
2024-04-15,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2629189.302360217,187,24123000,17578000
2024-04-22,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1701740.2128987666,125,16125000,11750000
2024-04-29,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2125663.848810388,163,21027000,15322000
2024-05-06,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,3429103.79246777,106,13674000,9964000
2024-05-13,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.15,2723562.311698962,158,17324700,11794700
2024-05-20,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,3013413.0431275857,127,16383000,11938000
2024-05-27,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.1,1506639.4683789462,170,19737000,13787000
2024-06-03,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2910995.259977303,114,14706000,10716000
2024-06-10,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.1,2213778.0726598985,117,13583700,9488700
2024-06-17,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2033761.460044612,107,13803000,10058000
2024-06-24,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.2,2066017.2306731632,107,11042400,7297400
2024-07-01,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.1,1332180.8987793564,83,9636300,6731300
2024-07-08,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1986271.9247037494,116,14964000,10904000
2024-07-15,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2694543.4671079824,82,10578000,7708000
2024-07-22,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1286115.6969817765,97,12513000,9118000
2024-07-29,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1978388.1138775528,89,11481000,8366000
2024-08-05,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.15,2763370.937678421,145,15899250,10824250
2024-08-12,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2048514.6906569595,112,14448000,10528000
2024-08-19,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.15,1843419.8412447006,147,16118550,10973550
2024-08-26,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.1,2044342.3493395082,113,13119300,9164300
2024-09-02,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2129036.41597257,110,14190000,10340000
2024-09-09,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1664399.4441079271,104,13416000,9776000
2024-09-16,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2679149.070408123,110,14190000,10340000
2024-09-23,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.1,2026745.808636898,98,11377800,7947800
2024-09-30,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.15,1487779.8542390845,121,13267650,9032650
2024-10-07,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,986712.3996315617,97,12513000,9118000
2024-10-14,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1452455.95340788,106,13674000,9964000
2024-10-21,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,2295654.6208562627,58,7482000,5452000
2024-10-28,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,924382.705729064,108,13932000,10152000
2024-11-04,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,1,0.1,2406613.798549176,123,14280300,9975300
2024-11-11,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,0.0,117,15093000,10998000
2024-11-18,SKN-01,Brightening Serum,Skincare,Marketplace,Java,129000,35000,0,0.0,1862287.5266010803,125,16125000,11750000
